Date,Adj Close,Close,High,Low,Open,Volume
5/12/2022,170.1699982,170.1699982,172.3999939,169.8999939,172.0700073,11626800
5/13/2022,168.7899933,168.7899933,169.6199951,168.0099945,168.3099976,13031100
5/16/2022,170.3999939,170.3999939,170.4299927,168.3399963,168.4299927,7319300
5/17/2022,169.3300018,169.3300018,170.5299988,169.1399994,170.4400024,6441100
5/18/2022,169.4199982,169.4199982,170.2100067,168.8099976,169.0099945,7472900
5/19/2022,171.9100037,171.9100037,172.5200043,170.8899994,171.5500031,10580300
5/20/2022,172.0299988,172.0299988,172.2400055,170.8899994,171.7100067,6578100
5/23/2022,172.8300018,172.8300018,173.3800049,172.2799988,173.1300049,5518500
5/24/2022,174.1300049,174.1300049,174.4100037,173.3500061,173.4700012,6794000
5/25/2022,173.0800018,173.0800018,173.1600037,171.7299957,172.7899933,4595900
5/26/2022,172.7599945,172.7599945,172.9299927,171.7599945,172.1300049,6467000
5/27/2022,172.8500061,172.8500061,173.5200043,172.6399994,173.4900055,3847900
5/31/2022,171.1399994,171.1399994,173.0700073,171.0800018,172.7100067,6244000
6/1/2022,172.2299957,172.2299957,172.5299988,171.3899994,172.2100067,6946500
6/2/2022,174.3500061,174.3500061,174.4499969,173.4900055,173.6600037,5623100
6/3/2022,172.5800018,172.5800018,173.9700012,172.25,173.5299988,5519400
6/6/2022,171.8200073,171.8200073,172.8899994,171.6499939,172.8099976,3766000
6/7/2022,172.9400024,172.9400024,173.0500031,171.9900055,172.1100006,3860000
6/8/2022,172.7799988,172.7799988,173.4499969,172.6699982,172.8899994,5140800
6/9/2022,172.2299957,172.2299957,172.5899963,171.5800018,172.4499969,4701100
6/10/2022,174.5399933,174.5399933,174.9400024,170.4600067,170.8899994,16856100
6/13/2022,169.9299927,169.9299927,171.3399963,169.6100006,171.1799927,13265200
6/14/2022,168.5700073,168.5700073,169.7299957,168.3000031,169.6100006,7347900
6/15/2022,170.7700043,170.7700043,171.8399963,169.0800018,170.3999939,9000300
6/16/2022,172.6900024,172.6900024,172.7700043,170.1699982,170.5599976,8823600
6/17/2022,171.2700043,171.2700043,172.3000031,170.9700012,172.1499939,7407200
6/21/2022,170.6300049,170.6300049,171.9100037,170.4700012,171.0599976,5608500
6/22/2022,171.3099976,171.3099976,172.3000031,171.1000061,171.6100006,6558700
6/23/2022,170.2599945,170.2599945,172.1300049,169.8999939,171.3899994,6535300
6/24/2022,170.0899963,170.0899963,170.7400055,169.8500061,170.2400055,6143100
6/27/2022,169.8999939,169.8999939,170.6699982,169.75,170.6000061,5719700
6/28/2022,169.6199951,169.6199951,170.2100067,169.5099945,170.0700073,2982700
6/29/2022,169.4900055,169.4900055,170.6999969,169.1699982,170.5800018,4785600
6/30/2022,168.4600067,168.4600067,169.9600067,168.2400055,169.5099945,9144400
7/1/2022,168.3200073,168.3200073,168.6799927,166.9600067,167.1399994,11380300
7/5/2022,164.75,164.75,167.3300018,164.4100037,167.1799927,14035400
7/6/2022,162.1399994,162.1399994,164.5700073,161.4700012,164.3200073,11861100
7/7/2022,162.2299957,162.2299957,163.0399933,162.0599976,162.4299927,4588400
