,Date,Adj Close,Close,High,Low,Open,Volume
129,2019-07-09,1397.5,1397.5,1397.5,1386.199951,1394.5,53
130,2019-07-10,1410.099976,1410.099976,1410.099976,1409.900024,1409.900024,50
131,2019-07-11,1404.300049,1404.300049,1424.0,1404.300049,1424.0,6
132,2019-07-12,1409.900024,1409.900024,1410.099976,1405.599976,1405.599976,8
133,2019-07-15,1411.400024,1411.400024,1415.0,1411.400024,1414.400024,25
134,2019-07-16,1409.199951,1409.199951,1413.699951,1405.0,1413.599976,13
135,2019-07-17,1421.300049,1421.300049,1421.300049,1404.599976,1404.599976,6
136,2019-07-18,1426.099976,1426.099976,1444.199951,1419.5,1422.300049,66
137,2019-07-19,1425.099976,1425.099976,1442.0,1425.099976,1440.5,22
138,2019-07-22,1425.300049,1425.300049,1425.300049,1424.0,1425.300049,1
139,2019-07-23,1420.099976,1420.099976,1421.300049,1416.300049,1418.599976,5
140,2019-07-24,1422.800049,1422.800049,1422.800049,1422.800049,1422.800049,20
141,2019-07-25,1413.900024,1413.900024,1413.900024,1413.900024,1413.900024,4
142,2019-07-26,1418.5,1418.5,1423.0,1418.5,1422.800049,5
143,2019-07-29,1419.599976,1419.599976,1419.599976,1419.599976,1419.599976,224267
144,2019-07-30,1429.699951,1429.699951,1433.900024,1422.099976,1426.300049,73874
145,2019-07-31,1426.099976,1426.099976,1435.800049,1411.199951,1431.300049,3294
146,2019-08-01,1420.900024,1420.900024,1445.199951,1400.900024,1411.300049,2431
147,2019-08-02,1445.599976,1445.599976,1448.0,1432.300049,1448.0,1873
148,2019-08-05,1464.599976,1464.599976,1469.699951,1440.400024,1440.400024,1008
149,2019-08-06,1472.400024,1472.400024,1475.0,1457.699951,1469.699951,460
150,2019-08-07,1507.300049,1507.300049,1509.900024,1473.199951,1473.5,824
151,2019-08-08,1497.699951,1497.699951,1508.5,1492.0,1498.400024,367
152,2019-08-09,1496.599976,1496.599976,1507.5,1495.599976,1506.199951,74
153,2019-08-12,1505.300049,1505.300049,1514.900024,1488.099976,1496.0,257
